year,group,count,share
2001,none,1028052,0.29636996863192105
2001,christianity,2107440,0.6075392360441454
2001,other,333321,0.09609079532393358
2006,none,1297104,0.346480645251766
2006,christianity,2092971,0.5590715490610112
2006,other,353580,0.09444780568722277
2013,none,1635348,0.41919488644927516
2013,christianity,1812981,0.46472821957754146
2013,other,452835,0.11607689397318338
2018,none,2264601,0.48185511797955427
2018,christianity,1626075,0.3459914399793181
2018,other,809079,0.17215344204112767
2023,none,2576049,0.5158367479834991
2023,christianity,1514175,0.3032035135503691
2023,other,903699,0.18095973846613173
