case_type,avg_MAE,avg_R2
A,0.0026370867282012123,0.9995841432355215
A,0.001711245027989083,0.9998876722374093
A,0.001805270478793421,0.9997719185988034
A,0.0012596698197827674,0.999910481384481
A,0.0011560928295007876,0.9999083973140518
A,0.0006580721884734333,0.9999732969606123
A,0.0011779849824751364,0.9999270080629646
A,0.0014342838441079708,0.9999091175374628
A,0.0007515630788969769,0.9999678084002408
A,0.0017753612281661989,0.9998224248175837
A,0.002525058977397103,0.999714862432608
B,0.004871588103223333,-0.24520215420948346
B,0.00280065087703715,0.052573371756834984
B,0.015489011662831191,-10.151588665061334
B,0.006660339986715177,-5.1856358134800224
B,0.009793171024983494,-13.126891775828412
B,0.0025234040092436518,0.09869876364062359
B,0.0045545688882578875,-2.9689914933695043
B,0.009500554465546885,-11.891013537064978
B,0.01645822911074702,-8.409641101605219
B,0.008067898752538504,-7.291942681864278
B,0.012610148882028343,-9.676564839983545
C,0.004469537045924594,0.9572037337483843
C,0.0005119080101321493,0.9955409266704462
C,0.003061368390160494,0.9671365014617748
C,0.02438462099463913,0.9808100476106543
C,0.025728147252502297,0.9852431336674363
C,0.00031193538640118704,0.9988657433315504
C,0.00037490019111942633,0.9986994455589886
C,0.0015607247430514497,0.9956098092715919
C,0.04944477067370924,0.9217328979207805
C,0.0008498040549241851,0.9986278878495718
C,0.014071359491310644,0.9923533034203476
